"Bundesland";2024
"Hamburg";84486
"Bremen";59785
"Bayern";58817
"Baden-Württemberg";57294
"Hessen";57288
"Berlin";54607
"Westliche Bundesländer";52966
"Deutschland";50819
"Nordrhein-Westfalen";47916
"Niedersachsen";46706
"Rheinland-Pfalz";44046
"Saarland";42877
"Schleswig-Holstein";42705
"Sachsen";39667
"Östliche Bundesländer";38016
"Brandenburg";37774
"Mecklenburg-Vorpommern";37656
"Thüringen";36942
"Sachsen-Anhalt";36517
