category,old_stem,new_stem,registry_id,plot_type,data_source
Trade,GER Export Development - Nominal vs Real,GER Export Development - Nominal vs Real,trade_ger_export_nominal_real,multi_line,GENESIS 51000-0001/81000-0027
Trade,GER Import Development - Nominal vs Real,GER Import Development - Nominal vs Real,trade_ger_import_nominal_real,multi_line,GENESIS 51000-0001/81000-0027
Trade,GER Export - Value Changes to Previous-Year-Month,Germany Monthly Exports YoY Change,trade_ger_export_yoy_change,timeseries,GENESIS 51000-0001
Trade,GER Import - Value Changes to Previous-Year-Month,Germany Monthly Imports YoY Change,trade_ger_import_yoy_change,timeseries,GENESIS 51000-0001
Trade,GER Import - commodities,Germany Commodity Imports monthly,trade_commodity_imports_germany,multi_line,GENESIS 51000-0006
Trade,HH Export - value changes to previous-year-month,Hamburg Monthly Exports YoY Change,trade_hh_export_yoy_change,timeseries,GENESIS 51000-0030
Trade,HH Import - value changes to previous-year-month,Hamburg Monthly Imports YoY Change,trade_hh_import_yoy_change,timeseries,GENESIS 51000-0030
Trade,HH Commodities Import - Development,Hamburg Commodity Imports monthly,trade_commodity_imports_hamburg,multi_line,GENESIS 51000-0035
Trade,HH Export - value after pandemic,Hamburg Total Exports since Pandemic,trade_hh_export_pandemic,timeseries,GENESIS 51000-0030
Trade,HH Import - value after pandemic,Hamburg Total Imports since Pandemic,trade_hh_import_pandemic,timeseries,GENESIS 51000-0030
Trade,Germany's Export Structure in 2024 pie,Germany's Export Structure in,trade_export_germany_pie,pie,GENESIS 51000-0005
Trade,Germany's Import Structure in 2024 pie,Germany's Import Structure in,trade_import_germany_pie,pie,GENESIS 51000-0005
Trade,Hamburg Export Structure in 2025 pie,Hamburg's Export Structure in,trade_export_hamburg_pie,pie,GENESIS 51000-0034
Trade,Hamburg Import Structure in 2025 pie,Hamburg's Import Structure in,trade_import_hamburg_pie,pie,GENESIS 51000-0034
Trade,Lower Saxony Export Structure in 2025 pie,Lower Saxony's Export Structure in,trade_export_lowersaxony_pie,pie,GENESIS 51000-0034
Trade,Lower Saxony Import Structure in 2025 pie,Lower Saxony's Import Structure in,trade_import_lowersaxony_pie,pie,GENESIS 51000-0034
Trade,HH Export by Country,Hamburg Export by Country,trade_export_hamburg_country,choropleth,GENESIS 51000-0032
Trade,HH Import by Country,Hamburg Import by Country,trade_import_hamburg_country,choropleth,GENESIS 51000-0032
